ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601821,2,80,,1601821,2601821,0,200663
601822,2,80,,1601822,2601822,0,200664
601823,2,80,,1601823,2601823,0,200665
601824,2,80,,1601824,2601824,0,200666
601825,2,80,,1601825,2601825,0,200667
601826,2,80,,1601826,2601826,0,200668
601827,2,80,,1601827,2601827,0,200669
601828,2,80,,1601828,2601828,0,200670
601829,2,80,,1601829,2601829,0,200671
601830,2,80,,1601830,2601830,0,200672
601831,2,80,,1601831,2601831,0,200673
601832,2,80,,1601832,2601832,0,200674
601833,2,80,,1601833,2601833,0,200675
601834,2,80,,1601834,2601834,0,200676
601835,2,80,,1601835,2601835,0,200677
601836,2,80,,1601836,2601836,0,200678
601837,2,80,,1601837,2601837,0,200679
601838,2,80,,1601838,2601838,0,200680
601839,2,80,,1601839,2601839,0,200681
601840,2,80,,1601840,2601840,0,200682
601841,2,80,,1601841,2601841,0,200683
601842,2,80,,1601842,2601842,0,200684
601843,2,80,,1601843,2601843,0,200685
601844,2,80,,1601844,2601844,0,200686
601845,2,80,,1601845,2601845,0,200687
601846,2,80,,1601846,2601846,0,200688
601847,2,80,,1601847,2601847,0,200689
601848,2,80,,1601848,2601848,0,200690
601849,2,80,,1601849,2601849,0,200691
601850,2,80,,1601850,2601850,0,200692
601851,2,80,,1601851,2601851,0,200693
601852,2,80,,1601852,2601852,0,200694
601853,2,80,,1601853,2601853,0,200695
601854,2,80,,1601854,2601854,0,200696
601855,2,80,,1601855,2601855,0,200697
601856,2,80,,1601856,2601856,0,200698
601857,2,80,,1601857,2601857,0,200699
